age,fnlwgt,education,education_num,capital_gain,capital_loss,hours_per_week,income
90,77053,HS-grad,9,0,4356,40,0
82,132870,HS-grad,9,0,4356,18,0
66,186061,Some-college,10,0,4356,40,0
54,140359,7th-8th,4,0,3900,40,0
41,264663,Some-college,10,0,3900,40,0
34,216864,HS-grad,9,0,3770,45,0
38,150601,10th,6,0,3770,40,0
74,88638,Doctorate,16,0,3683,20,1
68,422013,HS-grad,9,0,3683,40,0
41,70037,Some-college,10,0,3004,60,1
45,172274,Doctorate,16,0,3004,35,1
38,164526,Prof-school,15,0,2824,45,1
52,129177,Bachelors,13,0,2824,20,1
32,136204,Masters,14,0,2824,55,1
51,172175,Doctorate,16,0,2824,40,1
46,45363,Prof-school,15,0,2824,40,1
45,172822,11th,7,0,2824,76,1
57,317847,Masters,14,0,2824,50,1
22,119592,Assoc-acdm,12,0,2824,40,1
34,203034,Bachelors,13,0,2824,50,1
37,188774,Bachelors,13,0,2824,40,1
29,77009,11th,7,0,2754,42,0
61,29059,HS-grad,9,0,2754,25,0
51,153870,Some-college,10,0,2603,40,0
61,135285,HS-grad,9,0,2603,32,0
21,34310,Assoc-voc,11,0,2603,40,0
33,228696,1st-4th,2,0,2603,32,0
49,122066,5th-6th,3,0,2603,40,0
37,107164,10th,6,0,2559,50,1
38,175360,10th,6,0,2559,90,1
23,44064,Some-college,10,0,2559,40,1
59,107287,10th,6,0,2559,50,1
52,198863,Prof-school,15,0,2559,60,1
51,123011,Bachelors,13,0,2559,50,1
60,205246,HS-grad,9,0,2559,50,1
63,39181,Doctorate,16,0,2559,60,1
53,149650,HS-grad,9,0,2559,48,1
51,197163,Prof-school,15,0,2559,50,1
37,137527,Doctorate,16,0,2559,60,1
54,161691,Masters,14,0,2559,40,1
44,326232,Bachelors,13,0,2547,50,1
43,115806,Masters,14,0,2547,40,1
51,115066,Some-college,10,0,2547,40,1
43,289669,Masters,14,0,2547,40,1
71,100820,HS-grad,9,0,2489,15,0
48,121253,Bachelors,13,0,2472,70,1
71,110380,HS-grad,9,0,2467,52,0
73,233882,HS-grad,9,0,2457,40,0
68,192052,Some-college,10,0,2457,40,0
67,174995,Some-college,10,0,2457,40,0
40,335549,Prof-school,15,0,2444,45,1
50,237729,HS-grad,9,0,2444,72,1
51,68898,Assoc-voc,11,0,2444,39,1
42,107276,Some-college,10,0,2444,40,1
39,141584,Masters,14,0,2444,45,1
32,207668,Bachelors,13,0,2444,50,1
53,313243,Some-college,10,0,2444,45,1
40,147372,Some-college,10,0,2444,40,1
38,237608,Bachelors,13,0,2444,45,1
33,194901,Assoc-voc,11,0,2444,42,1
43,155106,Assoc-acdm,12,0,2444,70,1
50,121441,11th,7,0,2444,40,1
44,162028,Some-college,10,0,2415,6,1
51,160724,Bachelors,13,0,2415,40,1
41,132222,Prof-school,15,0,2415,40,1
60,226355,Assoc-voc,11,0,2415,70,1
37,329980,Masters,14,0,2415,60,1
55,124137,Prof-school,15,0,2415,35,1
39,329980,Bachelors,13,0,2415,60,1
42,187702,Prof-school,15,0,2415,60,1
49,199029,Bachelors,13,0,2415,55,1
47,145290,HS-grad,9,0,2415,50,1
41,297248,Prof-school,15,0,2415,45,1
55,227856,Bachelors,13,0,2415,50,1
39,179731,Masters,14,0,2415,65,1
42,154374,Bachelors,13,0,2415,60,1
41,27187,Assoc-voc,11,0,2415,12,1
46,326857,Masters,14,0,2415,65,1
40,160369,Masters,14,0,2415,45,1
32,396745,Bachelors,13,0,2415,48,1
41,151089,Some-college,10,0,2415,55,1
60,336188,Prof-school,15,0,2415,80,1
31,279015,Masters,14,0,2415,70,1
58,43221,Some-college,10,0,2415,40,1
37,30529,Bachelors,13,0,2415,50,1
44,201742,Bachelors,13,0,2415,50,1
39,218490,Prof-school,15,0,2415,50,1
43,156996,Prof-school,15,0,2415,55,1
55,298449,Bachelors,13,0,2415,50,1
44,191712,Masters,14,0,2415,55,1
39,198654,Prof-school,15,0,2415,67,1
46,102308,Bachelors,13,0,2415,40,1
39,348521,Some-college,10,0,2415,99,1
62,56248,Bachelors,13,0,2415,60,1
31,252752,HS-grad,9,0,2415,40,1
46,192963,Bachelors,13,0,2415,35,1
46,198759,Prof-school,15,0,2415,80,1
39,143123,Assoc-voc,11,0,2415,40,1
39,237713,Prof-school,15,0,2415,99,1
